No,PLAYER,TEAM,AGE,GP,W,L, MIN ,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
131,Tre Jones,SAS,24,9,4,5, 29 ,12.2,4.7,8.2,56.8,0.9,2.4,36.4,2,2,100,0.6,3.2,3.8,7.6,1.2,1.7,0.1,1.3,32.2,1,0,4.6
132,Deandre Ayton,POR,25,5,2,3, 31 ,12.2,5.8,11.8,49.2,0,0,0,0.6,0.8,75,2.6,7,9.6,1.6,1.6,0.6,0.8,2.2,28.7,2,0,-6.6
133,Bruce Brown,TOR,27,7,2,5, 26 ,12.1,5,9.6,52.2,1,2.3,43.8,1.1,1.4,80,1.4,4.6,6,3,1.6,0.9,0.4,2.4,26.1,1,0,-3.1
134,Aaron Gordon,DEN,28,10,6,4, 33 ,12.1,4.6,8.2,56.1,0.4,1.5,26.7,2.5,3.9,64.1,1.9,4.2,6.1,2.5,1.2,0.4,0.6,2.3,25,2,0,0.2
134,Bobby Portis,MIL,28,10,6,4, 21 ,12.1,4.6,9,51.1,1.4,2.7,51.9,1.5,2,75,0.8,5.8,6.6,0.4,0.8,0.4,0.2,2.3,21.6,2,0,-2.9
136,Bennedict Mathurin,IND,21,10,5,5, 25 ,12,4.3,11.3,38.1,0.6,2.8,21.4,2.8,3.3,84.8,1,2.6,3.6,1.8,1.9,0.3,0.2,1.5,18.6,0,0,-3.4
137,Scoot Henderson,POR,19,10,3,7, 23 ,11.9,3.9,11.2,34.8,1,3.8,26.3,3.1,4.1,75.6,0.7,2.3,3,3.5,2.8,0.6,0.1,1.8,20.1,0,0,-11.4
138,Herbert Jones,NOP,25,10,5,5, 26 ,11.7,4.3,7.7,55.8,1.9,3.8,50,1.2,1.5,80,0.8,2.2,3,2.4,0.7,0.5,0.9,2,22.4,0,0,2.4
138,Tyus Jones,WAS,27,10,1,9, 31 ,11.7,4.8,11.4,42.1,1.6,4.4,36.4,0.5,0.8,62.5,0.5,2.5,3,8.9,0.9,1.1,0.2,0.9,31.7,2,0,-5.1
140,Naz Reid,MIN,24,10,7,3, 22 ,11.6,4.4,9.4,46.8,2.1,4.7,44.7,0.7,1.3,53.8,0.7,3.4,4.1,1.3,1.2,1.1,1,2.3,23.6,2,0,5.7
141,Josh Green,DAL,23,9,5,4, 31 ,11.2,4.4,8.1,54.8,1.8,3.6,50,0.6,1.3,41.7,1.2,3,4.2,2.7,1.3,0.2,0.2,2.4,20.3,0,0,1.1
142,Buddy Hield,IND,31,10,5,5, 26 ,11.2,4,8.1,49.4,2.5,5.7,43.9,0.7,0.8,87.5,0.5,2.6,3.1,3.3,0.9,0.9,0.6,1.9,23.5,0,0,0.2
142,Dennis Schroder,TOR,30,10,2,8, 27 ,11.2,4,8.3,48.2,1.5,3.8,39.5,1.7,1.9,89.5,0.2,1.9,2.1,4.2,1.1,0.5,0.1,2,20.7,0,0,-0.2
142,Spencer Dinwiddie,BKN,30,10,2,8, 27 ,11.2,3.4,7.4,45.9,2.1,5,42,2.3,2.6,88.5,0.2,1.6,1.8,4.2,0.9,0.7,0.2,1.7,21.5,0,0,-3.1
145,Jarace Walker,IND,20,3,1,2, 21 ,11,4.3,10,43.3,2.3,5.3,43.8,0,0,0,2,3,5,2.3,1.3,1.7,0.7,1,26.2,0,0,-5
145,Nick Richards,CHA,26,7,0,7, 28 ,11,4.3,6.9,62.5,0,0,0,2.4,3,81,3.1,5.7,8.9,1.1,0.3,0,1.6,2.6,27.8,2,0,-10.1
145,P.J. Washington,CHA,25,7,2,5, 28 ,11,4,8.1,49.1,1.7,4.1,41.4,1.3,1.9,69.2,1,4,5,1.9,1.4,0.7,1,3.6,23.5,0,0,-5
145,Tre Mann,OKC,22,1,1,0, 18 ,11,4,5,80,3,4,75,0,0,0,1,6,7,4,1,0,0,0,24.4,0,0,13
149,Obi Toppin,IND,25,10,5,5, 22 ,10.9,4.6,7.6,60.5,0.9,2.4,37.5,0.8,1.1,72.7,1.4,3.3,4.7,2,0.9,0.3,0.3,1.7,20.4,1,0,2.7
150,Dario Saric,GSW,29,10,4,6, 21 ,10.8,3.8,6.6,57.6,1.8,3.5,51.4,1.4,1.7,82.4,0.9,3.9,4.8,3.8,1.6,0.8,0.1,1.7,23.4,0,0,-5.9
150,Malik Beasley,MIL,27,10,6,4, 29 ,10.8,3.9,8,48.8,2.6,5.4,48.1,0.4,0.4,100,0.7,2.7,3.4,1.4,0.9,0.5,0.1,2.5,17.9,0,0,2.6
152,Kelly Oubre Jr.,PHI,28,9,5,4, 29 ,10.7,4.1,9.3,44,1.1,3.8,29.4,1.3,2.1,63.2,0.6,3.7,4.2,1.2,1,1.1,0.8,3.7,22.2,0,0,-6.9
153,Cameron Johnson,BKN,27,10,2,8, 27 ,10.6,4,10.7,37.4,2,6,33.3,0.6,1.2,50,0.9,3,3.9,3.2,0.4,0.5,0.3,1.9,22.1,0,0,-3.3
154,Duncan Robinson,MIA,29,10,4,6, 25 ,10.5,3.8,9.4,40.4,1.9,6.1,31.1,1,1,100,0.2,2.1,2.3,2.3,1.7,0.8,0.2,1.9,18,0,0,-3.6
154,Jalen Smith,IND,23,8,4,4, 19 ,10.5,4.3,7,60.7,1,2,50,1,1.6,61.5,2.1,3.8,5.9,1,0.8,0.3,0.9,2.6,21.7,2,0,-4
154,Kentavious Caldwell-Pope,DEN,30,10,6,4, 32 ,10.5,3.6,8.2,43.9,1.7,4.7,36.2,1.6,1.7,94.1,0.4,2.6,3,1.3,1.2,1.6,0.3,1.9,20.6,0,0,0.7
157,Alex Caruso,CHI,29,9,5,4, 31 ,10.4,3.6,8.1,43.8,2.4,6.2,39.3,0.9,1.1,80,0.6,3.1,3.7,3.4,0.9,1.6,1.7,2.8,28.8,0,0,4
157,David Roddy,MEM,22,9,5,4, 26 ,10.4,4.1,9.7,42.5,1.3,3,44.4,0.9,1.1,80,2.1,3.4,5.6,2.6,1.6,0.6,0.1,2.2,21.4,0,0,-5.4
157,Taurean Prince,LAL,29,9,5,4, 30 ,10.4,3.7,8.1,45.2,2.1,5.4,38.8,1,1.3,75,0.1,2.7,2.8,1.7,0.4,0.9,0.4,2.2,19.8,0,0,-7.2
160,Duop Reath,POR,27,10,3,7, 22 ,10.4,4.1,7.9,51.9,1.3,3.5,37.1,0.9,1.5,60,1.7,3.2,4.9,1.7,0.7,0.4,0.7,2.8,21.4,0,0,-8.5
161,Daniel Gafford,WAS,25,8,1,7, 29 ,10.4,4.4,5.9,74.5,0,0,0,1.6,2.4,68.4,2.3,5.4,7.6,1.6,1.4,1.1,2.4,3.4,31.1,0,0,-2.1
161,Jabari Walker,POR,21,8,3,5, 31 ,10.4,3.6,7.9,46,1,2.6,38.1,2.1,3,70.8,2.3,7.1,9.4,1.3,1,0.5,0.4,2.1,25.1,3,0,-8.4
163,Luguentz Dort,OKC,24,9,7,2, 28 ,10.3,3.4,8.2,41.9,2.1,5.6,38,1.3,1.8,75,1,2.2,3.2,0.9,1.2,0.8,0.4,3,18,0,0,8
163,Trey Murphy III,NOP,23,9,4,5, 24 ,10.3,3.4,9.4,36.5,2.2,7.6,29.4,1.2,1.9,64.7,0.6,3,3.6,2.3,0.3,0.7,0.3,1.2,20.8,0,0,2.6
165,Landry Shamet,WAS,26,7,0,7, 13 ,10.1,3,6,50,1.3,3.1,40.9,2.9,3,95.2,0.6,0.3,0.9,1.3,0.7,0.6,0.4,2.3,15.4,0,0,0.7
166,Andrew Wiggins,GSW,28,10,4,6, 26 ,10.1,4.1,9.4,43.6,0.9,3.2,28.1,1,1.5,66.7,1.2,2.3,3.5,2,0.8,0.3,0.6,1.9,19.2,0,0,-7.4
166,Keyonte George,UTA,20,10,7,3, 22 ,10.1,2.9,7.8,37.2,1.4,4.6,30.4,2.9,3.3,87.9,0,2.2,2.2,4,1.9,0.4,0,0.6,18,0,0,1.1
168,Corey Kispert,WAS,24,10,1,9, 19 ,10,3.6,7.2,50,1.5,4.1,36.6,1.3,1.3,100,0.3,2.2,2.5,1.4,1.4,0.4,0.1,0.8,15.2,0,0,-4.4
168,Jalen Suggs,ORL,22,10,3,7, 23 ,10,3.7,8.6,43,1.8,4.8,37.5,0.8,1.1,72.7,0.9,2.2,3.1,1.6,1.4,0.8,0.4,2.7,18.3,0,0,-6
168,Payton Pritchard,BOS,25,10,7,3, 23 ,10,3.4,7.2,47.2,1.9,4.5,42.2,1.3,1.3,100,1,2.6,3.6,3.1,0.5,0.4,0.2,1.1,20.3,0,0,6.7
168,Santi Aldama,MEM,23,6,4,2, 23 ,10,3.7,9.3,39.3,1.3,5,26.7,1.3,2,66.7,0.8,5.3,6.2,2.3,1.8,0.7,1.2,1.7,24.6,0,0,-4.7
172,Josh Giddey,OKC,21,10,8,2, 24 ,9.9,3.9,8.6,45.3,0.6,2.8,21.4,1.5,1.8,83.3,1.3,5.7,7,4.8,0.9,0.5,0.5,0.8,27.6,2,1,8.3
173,Derrick Jones Jr.,DAL,26,9,4,5, 28 ,9.9,4,7.3,54.5,1.1,3.1,35.7,0.8,1.2,63.6,0.9,2.6,3.4,1.1,1.2,0.4,0.7,2.4,17.8,1,0,-9.3
